;ID;FECHA_UTC;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD;MAGNITUD;FECHA_CORTE;geometry;UBICACION;MAGNITUD_CAT;PROFUNDIDAD_CAT;LUGAR
9059;9059;2000;211128;-11.322;-70.7902;151;5.1;20223006;POINT (-70.7902 -11.322);-11.322,-70.7902;Moderado;Intermedia;Madre de Dios
9061;9061;2000;22634;-17.4273;-70.4826;127;4.9;20223006;POINT (-70.4826 -17.4273);-17.4273,-70.4826;Moderado;Intermedia;Tacna
9062;9062;2000;31208;-7.505;-75.3857;126;5.2;20223006;POINT (-75.3857 -7.505);-7.505,-75.3857;Moderado;Intermedia;Loreto
9063;9063;2000;52927;-5.6053;-79.4049;91;4.9;20223006;POINT (-79.4049 -5.6053);-5.6053,-79.4049;Moderado;Intermedia;Piura
9065;9065;2000;83143;-5.3816;-79.5016;90;4.5;20223006;POINT (-79.5016 -5.3816);-5.3816,-79.5016;Moderado;Intermedia;Piura
9066;9066;2000;82530;-13.7297;-74.8841;97;4.5;20223006;POINT (-74.8841 -13.7297);-13.7297,-74.8841;Moderado;Intermedia;Huancavelica
9067;9067;2000;15121;-7.8456;-74.5047;166;4.6;20223006;POINT (-74.5047 -7.8456);-7.8456,-74.5047;Moderado;Intermedia;Ucayali
9068;9068;2000;172820;-3.88;-77.8946;18;4.5;20223006;POINT (-77.8946 -3.88);-3.88,-77.8946;Moderado;Superficial;Amazonas
9069;9069;2000;201410;-3.8541;-80.7959;30;4.5;20223006;POINT (-80.7959 -3.8541);-3.8541,-80.7959;Moderado;Superficial;Tumbes
9070;9070;2000;40517;-16.4589;-72.9972;68;4.6;20223006;POINT (-72.9972 -16.4589);-16.4589,-72.9972;Moderado;Intermedia;Arequipa
9071;9071;2000;121955;-11.9202;-76.9046;75;4.5;20223006;POINT (-76.9046 -11.9202);-11.9202,-76.9046;Moderado;Intermedia;Lima
9072;9072;2000;123422;-13.4441;-75.9021;79;4.6;20223006;POINT (-75.9021 -13.4441);-13.4441,-75.9021;Moderado;Intermedia;Ica
9073;9073;2000;170754;-3.8887;-77.8831;24;5.3;20223006;POINT (-77.8831 -3.8887);-3.8887,-77.8831;Moderado;Superficial;Amazonas
9074;9074;2000;173947;-4.0932;-77.679;117;4.6;20223006;POINT (-77.679 -4.0932);-4.0932,-77.679;Moderado;Intermedia;Amazonas
9075;9075;2000;40758;-4.444;-80.276;64;4.7;20223006;POINT (-80.276 -4.444);-4.444,-80.276;Moderado;Intermedia;Piura
9078;9078;2000;32939;-10.5105;-74.4174;49;4.6;20223006;POINT (-74.4174 -10.5105);-10.5105,-74.4174;Moderado;Superficial;Pasco
9080;9080;2001;92856;-16.4185;-72.3951;95;4.6;20223006;POINT (-72.3951 -16.4185);-16.4185,-72.3951;Moderado;Intermedia;Arequipa
9082;9082;2001;61911;-8.6524;-74.8972;143;5.1;20223006;POINT (-74.8972 -8.6524);-8.6524,-74.8972;Moderado;Intermedia;Ucayali
9085;9085;2001;172946;-5.9211;-78.8464;43;4.6;20223006;POINT (-78.8464 -5.9211);-5.9211,-78.8464;Moderado;Superficial;Cajamarca
